    X[m]        Y[m]      ZGround[m]       GroundZ0[m]       Height[m]    Wspd_2D[m/s]  Wspd_3D[m/s]  Direction[º]   Turb.Intensity  
 168           204 
6.582773e+05  7.158411e+06  9.142538e+02  3.343388e-02  1.000000e+01  6.010205e+00  6.013092e+00  6.46e+01  9.621886e-02
6.582773e+05  7.158611e+06  9.147772e+02  1.341987e-02  1.000000e+01  6.250948e+00  6.253795e+00  6.51e+01  8.098925e-02
6.582773e+05  7.158811e+06  9.233223e+02  1.000000e-04  1.000000e+01  6.541255e+00  6.545464e+00  6.50e+01  5.856981e-02
6.582773e+05  7.159011e+06  9.253276e+02  1.000000e-04  1.000000e+01  6.626048e+00  6.637678e+00  6.56e+01  5.847526e-02
6.582773e+05  7.159211e+06  9.259484e+02  1.000000e-04  1.000000e+01  6.441041e+00  6.456707e+00  6.76e+01  5.937086e-02
6.582773e+05  7.159411e+06  9.210657e+02  1.000000e-04  1.000000e+01  6.385532e+00  6.386513e+00  6.78e+01  5.938099e-02
6.582773e+05  7.159611e+06  9.358861e+02  1.000000e-04  1.000000e+01  6.492108e+00  6.496230e+00  6.76e+01  8.040602e-02
6.582773e+05  7.159811e+06  9.331373e+02  1.005765e-02  1.000000e+01  6.217802e+00  6.222109e+00  6.87e+01  9.828582e-02
6.582773e+05  7.160011e+06  9.403695e+02  1.000000e-04  1.000000e+01  6.469881e+00  6.469893e+00  6.82e+01  5.793084e-02
6.582773e+05  7.160211e+06  9.412652e+02  1.000000e-04  1.000000e+01  6.617133e+00  6.619451e+00  6.63e+01  5.764959e-02
6.582773e+05  7.160411e+06  9.469485e+02  1.000000e-04  1.000000e+01  6.706532e+00  6.706532e+00  6.58e+01  5.793620e-02
6.582773e+05  7.160611e+06  9.416124e+02  1.000000e-04  1.000000e+01  6.558087e+00  6.558147e+00  6.56e+01  5.879028e-02
6.582773e+05  7.160811e+06  9.446612e+02  1.000000e-04  1.000000e+01  6.553274e+00  6.553610e+00  6.48e+01  5.923055e-02
6.582773e+05  7.161011e+06  9.308102e+02  1.000000e-04  1.000000e+01  6.513861e+00  6.518961e+00  6.52e+01  5.951223e-02
6.582773e+05  7.161211e+06  9.202823e+02  6.281301e-03  1.000000e+01  6.393574e+00  6.399891e+00  6.58e+01  8.269404e-02
6.582773e+05  7.161411e+06  9.148948e+02  1.000000e-04  1.000000e+01  6.262152e+00  6.269723e+00  6.66e+01  6.014242e-02
6.582773e+05  7.161611e+06  9.102722e+02  1.000000e-04  1.000000e+01  5.939309e+00  5.942299e+00  6.73e+01  6.166315e-02
6.582773e+05  7.161811e+06  9.041599e+02  1.000000e-04  1.000000e+01  5.887065e+00  5.887390e+00  6.74e+01  6.332283e-02
6.582773e+05  7.162011e+06  9.100833e+02  1.000000e-04  1.000000e+01  6.295900e+00  6.303216e+00  6.67e+01  5.825710e-02
6.582773e+05  7.162211e+06  9.180685e+02  1.000000e-04  1.000000e+01  6.612729e+00  6.619878e+00  6.63e+01  5.702255e-02
6.582773e+05  7.162411e+06  9.171917e+02  1.000000e-04  1.000000e+01  6.642251e+00  6.650563e+00  6.64e+01  5.699374e-02
6.582773e+05  7.162611e+06  9.241825e+02  1.000000e-04  1.000000e+01  6.610485e+00  6.621883e+00  6.51e+01  6.147784e-02
6.582773e+05  7.162811e+06  9.212267e+02  3.613213e-04  1.000000e+01  6.553470e+00  6.556074e+00  6.40e+01  7.569035e-02
6.582773e+05  7.163011e+06  9.298331e+02  1.000000e-04  1.000000e+01  6.472355e+00  6.472587e+00  6.40e+01  5.900688e-02
6.582773e+05  7.163211e+06  9.099043e+02  1.000000e-04  1.000000e+01  6.200987e+00  6.202043e+00  6.47e+01  6.049818e-02
6.582773e+05  7.163411e+06  9.105667e+02  1.000000e-04  1.000000e+01  5.935411e+00  5.937107e+00  6.49e+01  6.204153e-02
6.582773e+05  7.163611e+06  9.163237e+02  1.000000e-04  1.000000e+01  5.778542e+00  5.779428e+00  6.39e+01  6.547025e-02
6.582773e+05  7.163811e+06  9.337420e+02  1.000000e-04  1.000000e+01  5.332847e+00  5.332879e+00  6.40e+01  1.028761e-01
6.582773e+05  7.164011e+06  9.137396e+02  2.759923e-03  1.000000e+01  5.693071e+00  5.696098e+00  6.41e+01  9.573387e-02
6.582773e+05  7.164211e+06  9.204468e+02  4.369368e-02  1.000000e+01  6.181919e+00  6.182272e+00  6.34e+01  1.029366e-01
6.582773e+05  7.164411e+06  9.233054e+02  1.000000e-04  1.000000e+01  6.311206e+00  6.312963e+00  6.37e+01  9.758311e-02
6.582773e+05  7.164611e+06  9.060348e+02  1.000000e-04  1.000000e+01  6.495732e+00  6.498311e+00  6.47e+01  7.266111e-02
